iter	MultiClass
0	0.8165576228
1	0.5731324907
2	0.4484966031
3	0.3753471158
4	0.3039929375
5	0.2628857811
6	0.2334404631
7	0.2105726552
8	0.1914584314
9	0.1773092731
10	0.1627434695
11	0.1516166256
12	0.1449094473
13	0.1329810477
14	0.1251047596
15	0.1178540132
16	0.111323494
17	0.1073578381
18	0.1031608842
19	0.09528588184
20	0.09193723609
21	0.08546538142
22	0.08140080109
23	0.07957050437
24	0.0751941292
25	0.07322744165
26	0.07217895096
27	0.07020862111
28	0.06595247657
29	0.06420197456
30	0.06086447893
31	0.05988304773
32	0.05852317421
33	0.0562843884
34	0.05560201586
35	0.0532907262
36	0.05152734367
37	0.0503558257
38	0.04808220665
39	0.04687265076
40	0.04557142608
41	0.04399373446
42	0.04309919559
43	0.04259393874
44	0.04198078418
45	0.04087723244
46	0.04047516292
47	0.03951621816
48	0.03794854792
49	0.03766157216
50	0.03702487696
51	0.03636070059
52	0.0357570458
53	0.03448848325
54	0.03355877544
55	0.03306286285
56	0.03284833802
57	0.03227271928
58	0.03195807387
59	0.03154422362
60	0.03127826098
61	0.0307134907
62	0.02996405353
63	0.02978032415
64	0.02936605875
65	0.02903924148
66	0.02872722518
67	0.02820465428
68	0.02789667836
69	0.02714143592
70	0.02652938789
71	0.02596814506
72	0.02536451866
73	0.02508092494
74	0.02471988601
75	0.02459060294
76	0.02430313932
77	0.02382013488
78	0.02335956363
79	0.02313862662
80	0.02277321204
81	0.02254740407
82	0.02209105311
83	0.0217233107
84	0.0215335563
85	0.02139975387
86	0.02135604853
87	0.02104541645
88	0.02064003022
89	0.02049148753
90	0.02016826204
91	0.02006321004
92	0.01991488561
93	0.0196899289
94	0.0193529668
95	0.0191352976
96	0.01904781357
97	0.01887257028
98	0.0187305635
99	0.01866944222
